model,capacity_tb,n_unique,drive_days,failed,years_97pct,surv_5yr_lower,surv_5yr,surv_5yr_upper
wdc wd30ezrs,3,18,5421,2,0.0164271047227926,0.0552998517758239,0.352855149810523,0.835493476154407
st2000dm001,2,8,2510,1,0.0054757015742642,0.0191950468004231,0.332125102787635,0.926664244882176
st320005xxxx,2,18,6256,7,0.00821355236139631,0.0049807599840126,0.0495706722890993,0.35209358062555
st4000dx002,4,7,2337,4,0.0027378507871321,0.000242176478057576,0.0153022480838267,0.499232915477506
st8000dm004,8,7,2823,7,0.0027378507871321,5.13370080441611e-05,0.0034598851213072,0.190146168387646
st2000dl001,2,12,1556,5,0,1.78014585572317e-06,0.000866742558408754,0.297132671870195
st2000dl003,2,17,1278,8,0,2.98199243076169e-11,6.12692526681592e-07,0.0124321023503124
00md00,4,2,12,0,0,0,0.999999138775457,1
toshiba mg10aca20te,20,2,596,0,0,0,0.999999137874463,1
wdc hus726040aln610,4,19,4483,0,0,0,0.999999137833905,1
st16000nm000j,16,62,15848,0,0,0,0.999999137815518,1
st12000nm003g,12,5,2031,0,0,0,0.99999913326818,1
st16000nm005g,16,26,33182,0,0,0,0.999998588785942,1
wdc hds5c3030ble630,3,1,1477,0,0,0,0.99999849885258,1
st6000dm001,6,15,17510,0,0,0,0.999998495728235,1
st6000dm004,6,3,2761,0,0,0,0.999998489026467,1
toshiba hdwe160,6,10,10437,0,0,0,0.999998430567662,1
wdc huh721010ale600,10,20,40104,0,0,0,0.999998376150743,1
wdc hms5c4040ble641,4,1,2070,0,0,0,0.999998367947967,1
